,Unnamed: 0,Tweet Text,label,preprocessed_tweet
45,46,"Creo que me he estoy empezando a volver adicto al GYM, ya es complicado el día cuando no siento que me duele algún músculo.",Practice_sports,"creo que me he estoy empezando a volver adicto al <allcaps> gym </allcaps> , ya es complicado el día cuando no siento que me duele algún músculo ."
46,47,No soportooooo más tanta mierda.,Negative,no soportoo <elongated> más tanta mierda .
47,48,"#FelizMiércoles ¿Cómo va tu propósito de hacer ejercicio este año? Si no te has inscrito al #Gym, lee esta nota 😉.",Practice_sports,"<hashtag> feliz miércoles </hashtag> ¿ cómo va tu propósito de hacer ejercicio este año ? si no te has inscrito al <hashtag> gym </hashtag> , lee esta nota 😉 ."
48,49,Tengo miedo Tengo miedo Teeengo mieedo,Negative,tengo miedo tengo miedo tengo <elongated> mieedo
49,50,"Pa todo 🤦🏻‍♀️🤦🏻‍♀️ RT @Guarromantico_: Una vez te decides a tomar agua con todas las comidas, ya se vuelve un vicio.",Healthy,"pa todo 🤦 🏻 ‍ ♀️ 🤦 🏻 ‍ ♀️ rt <user> : una vez te decides a tomar agua con todas las comidas , ya se vuelve un vicio ."
50,51,"Justo cuando veía mis dos mayores logros por realizar tan cerca, llega este sapohp virus a cagarme mi entrenamiento y mi estudio.",Practice_sports,"justo cuando veía mis dos mayores logros por realizar tan cerca , llega este sapohp virus a cagarme mi entrenamiento y mi estudio ."
51,52,"La vieja del grado puede expresar su tristeza y esta en todo su derecho, igual que el resto de gente que piensa que es una estupidez.",Other,"la vieja del grado puede expresar su tristeza y esta en todo su derecho , igual que el resto de gente que piensa que es una estupidez ."
52,53,Yo siento que he gastado más en comida éste mes que en cualquier otro.,Healthy,yo siento que he gastado más en comida éste mes que en cualquier otro .
53,54,No me alcanza pal play :(,Negative,no me alcanza pal play <sad>
54,55,5 antojos del encierro y 5tags: •Entrenar •Reunirme con mis amigas •Salir a comer helado •Politas •Bailar @Estefania20181 @VillaOtalora @lauraO_14 @lauritasalaza @KatalinaMendez3 RT @santtiaggo10: 5 antojos del encierro y 5tags: -Jugar fútbol -Plan parche amigos -Politas -Salir a bailar -Hamburguesas de 3500 @TaliaSaca @Laurenmedina_11 @_danielaach @luciaherreraal @EliPenagos12,Other,<number> antojos del encierro y 5 tags : • entrenar • reunirme con mis amigas • salir a comer helado • politas • bailar <user> <user> <user> <user> <user> rt <user> : <number> antojos del encierro y 5 tags : - jugar fútbol - plan parche amigos - politas - salir a bailar - hamburguesas de <number> <user> <user> <user> <user> <user>
55,56,"Mañana será un buen día para salir a entrenar, respirar aire fresco y recargar energías haciendo deporte. Aplazaron todas las carreras pero nuestros entrenamientos continúan para estar siempre listos! Vamos con toda!",Practice_sports,"mañana será un buen día para salir a entrenar , respirar aire fresco y recargar energías haciendo deporte . aplazaron todas las carreras pero nuestros entrenamientos continúan para estar siempre listos ! vamos con toda !"
56,57,Trabajar con pasión y esfuerzo hace q se disfruten los cambios por mínimos que sean . . . . . . . #fitness #Workout #Training #Gym #smile #nopainnogains #focus #Esfuerzo #Entrenamiento #fuerza #Espalda #onfire en…,Practice_sports,trabajar con pasión y esfuerzo hace q se disfruten los cambios por mínimos que sean . . . . . . . <hashtag> fitness </hashtag> <hashtag> workout </hashtag> <hashtag> training </hashtag> <hashtag> gym </hashtag> <hashtag> smile </hashtag> <hashtag> no pain no gains </hashtag> <hashtag> focus </hashtag> <hashtag> esfuerzo </hashtag> <hashtag> entrenamiento </hashtag> <hashtag> fuerza </hashtag> <hashtag> espalda </hashtag> <hashtag> on fire </hashtag> en …
57,58,"Quiero hacer ejercicio, pero estoy preparando deditos de queso jajaja",Non-healthy,"quiero hacer ejercicio , pero estoy preparando deditos de queso jajaja"
58,59,No sé cuántos días más sobreviviré añorando una hamburguesa bien poderosa con una club Colombia negra bien fría. ☹️,Non-healthy,no sé cuántos días más sobreviviré añorando una hamburguesa bien poderosa con una club colombia negra bien fría . ☹️
59,60,lo del man diciendole cosas feas al señor que entrega los diplomas me puso muy triste :( como es que la gente es tan grosera y paila?,Negative,lo del man diciendole cosas feas al señor que entrega los diplomas me puso muy triste <sad> como es que la gente es tan grosera y paila ?
60,62,Le tengo miedo a mí sexto sentido🥴,Negative,le tengo miedo a mí sexto sentido 🥴
61,63,🇨🇦Got a 3-2 win yesterday at the @WomensSqWeekYYC .Playing today at 6:45pm Calgary time. / Gané ayer 3-2 y juego mi segundo partido esta noche a las 8:45pm hora de Colombia.@DBMSomosDorados @SquashColombia @OlimpicoCol @IDRD @colombiasports @PSAWorldTour #squash #womenssquashweek,Practice_sports,🇨 🇦 got a <number> - <number> win yesterday at the <user> . playing today at <time> calgary time . / gané ayer <number> - <number> y juego mi segundo partido esta noche a las <time> hora de colombia . <user> <user> <user> <user> <user> <user> <hashtag> squash </hashtag> <hashtag> women s squash week </hashtag>
62,64,Un recuerdo de hace 1 año #health #fitness #fit #TFLers #fitnessmodel #fitnessaddic #fitspo #workout #bodybuilding #cardio #gym #train #training #photooftheday #health #healthy #instahealth #healthychoices #active #Motivation @Douglas_rodrigz,Practice_sports,un recuerdo de hace <number> año <hashtag> health </hashtag> <hashtag> fitness </hashtag> <hashtag> fit </hashtag> <hashtag> tf lers </hashtag> <hashtag> fitness model </hashtag> <hashtag> fitness addic </hashtag> <hashtag> fitspo </hashtag> <hashtag> workout </hashtag> <hashtag> bodybuilding </hashtag> <hashtag> cardio </hashtag> <hashtag> gym </hashtag> <hashtag> train </hashtag> <hashtag> training </hashtag> <hashtag> photo of the day </hashtag> <hashtag> health </hashtag> <hashtag> healthy </hashtag> <hashtag> insta health </hashtag> <hashtag> healthy choices </hashtag> <hashtag> active </hashtag> <hashtag> motivation </hashtag> <user>
63,65,"Ya que un mínimo sentido del asco y del sentido común no es suficiente, ojalá el coronavirus sirva para que los recoge pelotas dejen de pasarle las toallas a los jugadores de tenis.",Other,"ya que un mínimo sentido del asco y del sentido común no es suficiente , ojalá el coronavirus sirva para que los recoge pelotas dejen de pasarle las toallas a los jugadores de tenis ."
64,66,"No me gusta la hamburguesa, las salsas y casi toda la comida chatarra. :) RT @gacllxx: No me gusta el guaro",Healthy,"no me gusta la hamburguesa , las salsas y casi toda la comida chatarra . <happy> rt <user> : no me gusta el guaro"
65,67,Quisiera dejar de ser tan grosera con mi novio😥,Negative,quisiera dejar de ser tan grosera con mi novio 😥
66,68,Jajajaja @Laminorrea será por eso que no te rendía? 🤔 RT @elReneJimenez: Día 6 de cuarentena. Ya descubrimos que el gimnasio es 50% vida social.,Practice_sports,jajajaja <user> será por eso que no te rendía ? 🤔 rt <user> : día <number> de cuarentena . ya descubrimos que el gimnasio es <percent> vida social .
67,69,A veces me cocino tan rico que después me dan ganas de hacerme el amor!,Positive,a veces me cocino tan rico que después me dan ganas de hacerme el amor !
68,70,Gracias al cigarrillo y mi tarjeta de crédito por no abandonarme.,Other,gracias al cigarrillo y mi tarjeta de crédito por no abandonarme .
69,71,#FelizViernesAtodos y tengan calma ante todo lo que nos rodea. ¡Sean felices y cuídense!,Positive,<hashtag> feliz viernes atodos </hashtag> y tengan calma ante todo lo que nos rodea . ¡ sean felices y cuídense !
70,72,"Cariñosamente les digo que no tienen comparación con el sabor adictivo de unas papas fritas para que no se hagan faldas expectativas 🥺 pero si sirven como un snack funcional. La comida sana no sabe igual a la chatarra ni a bate, pero uno se acostumbra si busca cumplir objetivos. RT @SantiagoMoraRe1: Delicioso!!! Crocante! Saladito. Como papitas fritas!",Non-healthy,"cariñosamente les digo que no tienen comparación con el sabor adictivo de unas papas fritas para que no se hagan faldas expectativas 🥺 pero si sirven como un snack funcional . la comida sana no sabe igual a la chatarra ni a bate , pero uno se acostumbra si busca cumplir objetivos . rt <user> : delicioso ! <repeated> crocante ! saladito . como papitas fritas !"
71,73,El gremio de la actividad física y el deporte ha estado muy lento en su actuar ante esta contingencia. Lentísimo.,Negative,el gremio de la actividad física y el deporte ha estado muy lento en su actuar ante esta contingencia . lentísimo .
72,74,Como el día que mi mamá pensó que la herramienta para apretar las tuercas de mi patineta era una pipa para fumar marihuana 😐,Other,como el día que mi mamá pensó que la herramienta para apretar las tuercas de mi patineta era una pipa para fumar marihuana 😐
73,75,"¡Atención! Este es el PICO Y CÉDULA adoptado para Florencia, mediante el Decreto 028 de 2020, para que las personas de las zonas urbana y rural del municipio puedan abastecerse de los elementos de primera necesidad. El horario de atención para las tiendas es de 8 a.m. a 6 p.m.",Other,"¡ atención ! este es el <allcaps> pico y </allcaps> cédula adoptado para florencia , mediante el decreto <number> de <number> , para que las personas de las zonas urbana y rural del municipio puedan abastecerse de los elementos de primera necesidad . el horario de atención para las tiendas es de <number> a . m . a <number> p . m ."
74,76,Madrugando Feliz a ver la 3 temporada de #EliteNetflix,Positive,madrugando feliz a ver la <number> temporada de <hashtag> elite netflix </hashtag>
75,77,#groundwater Ejercicio tutorial del método clásico de Theis con ajuste de curvas en prueba de bombeo. Tutorial exercise of Theis classical method by curve fitting in pumping test analysis @hydrogeologymx @iahgroundwater @ECHN_IAH @ngwatweets @UniandesICYA,Other,<hashtag> groundwater </hashtag> ejercicio tutorial del método clásico de theis con ajuste de curvas en prueba de bombeo . tutorial exercise of theis classical method by curve fitting in pumping test analysis <user> <user> <user> <user> <user>
76,78,"Las emociones son respuestas normales a las situaciones de estrés o crisis, por eso en durante este periodo de aislamiento en casa, los invitamos a promover actitudes de convivencia #EvitaElCoronavirus #EmpiezaPorTusManos.",Positive,"las emociones son respuestas normales a las situaciones de estrés o crisis , por eso en durante este periodo de aislamiento en casa , los invitamos a promover actitudes de convivencia <hashtag> evita el coronavirus </hashtag> <hashtag> empieza por tus manos </hashtag> ."
77,79,"Atención, mujeres: está abierta la convocatoria del Premio Nacional de Narrativa Elisa Mújica de @idartes y @lagunalibros:",Other,"atención , mujeres : está abierta la convocatoria del premio nacional de narrativa elisa mújica de <user> y <user> :"
78,80,"Estoy tan feliz con las amigas que tengo, en verdad no necesito más.💕💛💜",Positive,"estoy tan feliz con las amigas que tengo , en verdad no necesito más . 💕 💛 💜"
79,81,"Acortando Distancias, Feliz cumpleaños Amiga mia❤ #AmorEnTiemposDeCoronaVirus",Positive,"acortando distancias , feliz cumpleaños amiga mia ❤ <hashtag> amor en tiempos de corona virus </hashtag>"
80,82,"Estos días haré sólo cosas que me salgan del corazón, así todos digan que están mal, estamos ante el fin de nuestras propias vidas, que importa lo demás, el orgullo se los dejo a ustedes. RT @OficialWos: Si te vas a fijar en lo que dicen los demás, nunca vas a ser feliz.",Positive,"estos días haré sólo cosas que me salgan del corazón , así todos digan que están mal , estamos ante el fin de nuestras propias vidas , que importa lo demás , el orgullo se los dejo a ustedes . rt <user> : si te vas a fijar en lo que dicen los demás , nunca vas a ser feliz ."
81,83,@WinchesterMusk Yo conozco otro proyecto que lo metieron a las malas sin justificación solo para hacer el Negociazo con los Sistemas de Informácion Distritales.,Other,<user> yo conozco otro proyecto que lo metieron a las malas sin justificación solo para hacer el negociazo con los sistemas de informácion distritales .
82,84,Esto es lo que quiere @ClaudiaLopez como el muchos colombianos aguantaríamos física hambre si dejamos la cuarentena hasta junio lo que demuestra su populimos y su afán de hacer con esta emergencia campaña política #Irresponsableclaudialopez RT @ymarce7312:,Negative,esto es lo que quiere <user> como el muchos colombianos aguantaríamos física hambre si dejamos la cuarentena hasta junio lo que demuestra su populimos y su afán de hacer con esta emergencia campaña política <hashtag> irresponsableclaudialopez </hashtag> rt <user> :
83,85,Hola Uribistas ignorantes Que aquí les manda decir el Castrochavismo pornoterrorista zombie que va a acabar con el capitalismo y va a llevar al dólar a los 4 mil pesos. #COVIDー19 #CuarentenaPorLaVida #FelizDomingo RT @petrogustavo: Unos envían bombas otros envían médicos.,Negative,hola uribistas ignorantes que aquí les manda decir el castrochavismo pornoterrorista zombie que va a acabar con el capitalismo y va a llevar al dólar a los <number> mil pesos . <hashtag> covidー 19 </hashtag> <hashtag> cuarentena por la vida </hashtag> <hashtag> feliz domingo </hashtag> rt <user> : unos envían bombas otros envían médicos .
84,86,Yo soy feliz metido en mi casa. No sufro del encierro.,Positive,yo soy feliz metido en mi casa . no sufro del encierro .
85,87,#NoQuieroFloresQuiero poder salir de rumba sin el miedo a que alguien ponga algo raro en mi bebida.,Negative,<hashtag> no quiero flores quiero </hashtag> poder salir de rumba sin el miedo a que alguien ponga algo raro en mi bebida .
86,88,"Sisi, sin duda alguna. RT @Mona_mru: Me hice la prueba; y salí positivo para ilusa boba hijueputa:).",Negative,"sisi , sin duda alguna . rt <user> : me hice la prueba ; y salí positivo para ilusa boba hijueputa <happy> ."
87,90,Ese guayabo quintario dirían los zorros de los más hptas.😷 RT @JSMO93: Que tristeza hermano me tomé tres polas ayer mientras veía una película y amanecí como para urgencias 🙃🙃,Non-healthy,ese guayabo quintario dirían los zorros de los más hptas . 😷 rt <user> : que tristeza hermano me tomé tres polas ayer mientras veía una película y amanecí como para urgencias 🙃 🙃
88,91,Tremenda idea para replicarla Sra @ClaudiaLopez,Positive,tremenda idea para replicarla sra <user>
89,92,#VivirEnCuarentenaEs tener ganas de morir al hacer trabajos :))),Negative,<hashtag> vivir en cuarentena es </hashtag> tener ganas de morir al hacer trabajos <happy>
90,93,"La tecnología nos puede dar una mano para combatir la ansiedad, el estrés, la depresión y otros trastornos 💚 Estas son nuestras recomendaciones 👉",Other,"la tecnología nos puede dar una mano para combatir la ansiedad , el estrés , la depresión y otros trastornos 💚 estas son nuestras recomendaciones 👉"
91,94,When Love Takes Over ... Por allá en el 2009.. Cuando la preocupación solo era levantarme a tiempo y no dar tanta vuelta para ir al cole... @davidguetta @KELLYROWLAND,Other,when love takes over . <repeated> por allá en el <number> . <repeated> cuando la preocupación solo era levantarme a tiempo y no dar tanta vuelta para ir al cole . <repeated> <user> <user>
92,95,"Creo que me he estoy empezando a volver adicto al GYM, ya es complicado el día cuando no siento que me duele algún músculo.",Practice_sports,"creo que me he estoy empezando a volver adicto al <allcaps> gym </allcaps> , ya es complicado el día cuando no siento que me duele algún músculo ."
93,96,"Semanas de poco deporte. Acá va un servicio social para los futboleros: CC @FutbolSinCrack RT @fulbo_fulbo: Diez partidos que atraviesan la historia del fútbol, completos y con sus respectivos links. Un pequeño aporte para el que le interese. Siempre nos quedará el fútbol, je.",Practice_sports,"semanas de poco deporte . acá va un servicio social para los futboleros : cc <user> rt <user> : diez partidos que atraviesan la historia del fútbol , completos y con sus respectivos links . un pequeño aporte para el que le interese . siempre nos quedará el fútbol , je ."
94,97,El otro día escuché en el @tjcope que para moverse había q recoger la mesa plato a plato. He buscado mi versión de desayuno. Aunque vaya a comer más de una galleta las dejo en la cocina para hacer dos viajes. Si alguien prueba con los cereales que cuente la experiencia 😂,Non-healthy,el otro día escuché en el <user> que para moverse había q recoger la mesa plato a plato . he buscado mi versión de desayuno . aunque vaya a comer más de una galleta las dejo en la cocina para hacer dos viajes . si alguien prueba con los cereales que cuente la experiencia 😂
95,98,El maldito futuro es hoy. RT @EmilioSansolini: Imagining pandemic football kits 🦠⚽️,Negative,el maldito futuro es hoy . rt <user> : imagining pandemic football kits 🦠 ⚽ ️
96,99,Mi twitter no sería el mismo si el tuyo no lo siguiera.,Other,mi twitter no sería el mismo si el tuyo no lo siguiera .
97,100,"No pana, no hay nada más triste que la tusa post parcial. Nada más deprimente que le vaya mal a uno en la carrera que decidió estudiar🤕",Negative,"no pana , no hay nada más triste que la tusa post parcial . nada más deprimente que le vaya mal a uno en la carrera que decidió estudiar 🤕"
